ปริมาณผลผลิตปาล์มจากการเก็บเกี่ยว,,
,,
,t,At
มค.49,1,238345
,2,431787
,3,714117
,4,752919
,5,729905
,6,544146
,7,523686
,8,576558
,9,589019
,10,629722
,11,537349
,12,447483
ม.ค. 50,13,481915
,14,460564
,15,564967
,16,542755
,17,507970
,18,433632
,19,512378
,20,571202
,21,627124
,22,672818
,23,574827
,24,439831
ม.ค. 51,25,570707
,26,774324
,27,947450
,28,875676
,29,1045892
,30,890074
,31,828870
,32,800012
,33,797391
,34,695848
,35,555011
,36,489255
ม.ค. 52,37,539555
,38,581184
,39,829331
,40,806475
,41,704441
,42,635874
,43,684851
,44,747704
,45,808924
,46,738725
,47,540371
,48,545268
ม.ค. 53,49,624958
,50,753239
,51,973660
,52,893246
,53,881887
,54,843683
,55,749950
,56,661962
,57,595355
,58,499967
,59,413624
,60,331604
ม.ค. 54,61,362965
,62,521648
,63,828071
,64,887349
,65,863637
,66,823511
,67,806183
,68,737785
,69,844486
,70,953922
,71,859078
,72,631085
